query_id,query,category,note,hpvd_candidates,bm25_hits,dense_hits,after_rrf,bm25_top_id,dense_top_id,rrf_top_id,pmr_top_id,semantic_score,pmr_verdict,answer_probability,confidence_score,bm25_ce_agree,gated_count,total_after_gate,allow_count,pmr_latency_ms,hpvd_latency_ms,total_latency_ms,cross_encoder_used,reason_codes,top_candidate_price,top_candidate_brand,top_candidate_category
A01,Laptop X Pro,exact_name,exact product name match,10,20,20,10,laptop-04,laptop-15,laptop-00,laptop-00,0.5768,ALLOW,0.5092,0.4819,False,9,1,1,116.37,13585.23,13701.59,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;TENANT_MATCH;TRUSTED_SOURCE,25000000,TechPro,laptop
A02,Phone Z Ultra,exact_name,exact product name match,10,5,20,10,phone-16,phone-01,tablet-03,tablet-03,0.0414,ABSTAIN,0.0,0.0,False,10,0,0,75.94,2333.75,2409.69,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;NO_ALLOWED_CANDIDATES,7000000,TabZone,tablet
A03,Monitor 4K Gaming,exact_name,exact product name match,10,20,20,10,monitor-00,monitor-00,monitor-00,monitor-00,0.9996,ALLOW,0.685,0.6676,True,5,5,4,115.09,2690.66,2805.74,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,8000000,ViewPerfect,monitor
A04,Tablet Art,exact_name,exact product name match,10,10,20,10,tablet-02,tablet-06,tablet-02,tablet-00,0.8689,ALLOW,0.612,0.4861,False,8,2,1,181.92,2079.29,2261.21,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,12000000,DrawCo,tablet
A05,BudgetBook 15,exact_name,exact product model match,10,10,20,10,laptop-03,laptop-03,laptop-03,laptop-03,0.9996,ALLOW,0.6784,0.6235,True,7,3,3,87.26,6529.8,6617.06,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,5000000,EconoPC,laptop
B01,gaming laptop,category_spec,gaming category,10,20,20,10,laptop-20,laptop-06,laptop-20,laptop-06,0.9982,ALLOW,0.6851,0.6713,False,2,8,7,110.34,2059.48,2169.82,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,20000000,GigaByte,laptop
B02,budget laptop,category_spec,budget category,10,20,20,10,laptop-16,laptop-03,laptop-16,laptop-16,0.9978,ALLOW,0.6838,0.6636,True,6,4,4,104.41,3999.34,4103.75,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,3500000,EconoPC,laptop
B03,5G smartphone,category_spec,tech spec search,10,19,20,10,phone-11,phone-10,phone-11,phone-10,0.9997,ALLOW,0.6857,0.6724,False,7,3,3,125.84,1832.24,1958.09,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,9500000,SkyMobile,smartphone
B04,4K monitor,category_spec,resolution search,10,20,20,10,monitor-07,monitor-00,monitor-07,monitor-00,0.9984,ALLOW,0.6838,0.6625,False,6,4,4,95.22,2232.91,2328.13,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,8000000,ViewPerfect,monitor
B05,drawing tablet,category_spec,use-case search,10,10,20,10,tablet-02,tablet-02,tablet-02,tablet-02,0.9971,ALLOW,0.6832,0.6617,True,7,3,3,103.27,7784.0,7887.27,SentenceTransformerCrossEncoder,SEMANTIC_GATE_REMOVED;HAS_ALLOWED_CANDIDATES;HIGH_SEMANTIC_MATCH;TENANT_MATCH;TRUSTED_SOURCE,4000000,DrawCo,tablet
